ts	phase	decision	why	evidence	result
2026-08-31T00:50:43Z	frame	targeted approved issue 83 across three delivery slices	the worktree is issue-83 and the spec names scheduled, event, and approval recovery outcomes	https://github.com/gannonh/kata-agents/issues/83	scope set; architecture survey required
2026-08-31T00:50:43Z	preflight	cleared closed issue 82 as a stale blocker	the build gate treats a closed dependency as stale and requires removal	gh issue edit 83 --remove-blocked-by 82	issue 83 has no open blocker
2026-08-31T00:53:44Z	ground	traced three seams before choosing an implementation shape	Bot and journal are durable but routines are absent; automations are in-memory and session-oriented; renderer has no routine RPC	packages/shared/src/bots/directory.ts; packages/shared/src/conversations/journal.ts; packages/shared/src/automations/automation-system.ts; packages/server-core/src/handlers/rpc/bots.ts	design must add a routine-owned state machine without mutating legacy automation semantics
2026-08-31T00:59:08Z	design	replaced the external-cli arena after its parser failed	the Codex and Cursor one-shot adapters produced no durable terminal state for the second candidate or judge; native workers can return inspectable designs	workflow 95138635-09be-4002-9aff-43b9bf6c6860	INCONCLUSIVE; retrying with native workers
2026-08-31T01:18:00Z	design	selected dedicated RoutineStore and RoutineEngine	Cross-judge found journal authority conflicts with public history; dedicated store supports durable cursors, claims, approval reconstruction, and occurrence-to-run uniqueness	native arena 6aff8fee-95b8-429b-b8b6-ede09bc28876; ba689300-1330-43e2-bcf5-700bf4d60861_reviewer_0_output.md	A base selected; graft durable approval attempts, schedule cursor, atomic uniqueness, bootstrap lifecycle, public DTO stripping
2026-08-31T02:20:00Z	verification	kept requestless approval links until the provider request can be answered	A denial can arrive before the provider supplies requestId; deleting the link removes the only in-process response association	packages/server-core/src/handlers/rpc/approvals.ts; packages/server-core/src/routines/bot-routine-executor.ts; focused approval tests	links are retained for a bounded window and removed after delivery or expiry
2026-08-31T02:25:00Z	verification	serialized direct approval resume and buffered denials	Concurrent resume calls must share one transition; a denial received while execution is running must override a later provider completion	packages/server-core/src/routines/routine-engine.ts; routine-engine.test.ts	duplicate resumes share one promise; denied run becomes cancelled
2026-08-31T02:30:00Z	verification	treated missing routine records as durable orphan runs	Recovery enumerates run files independently of routine definitions so deleted records cannot leave executable work	RoutineStore.listAllRuns; routine-engine.test.ts	orphan run is cancelled with routine-deleted
2026-08-31T04:00:00Z	verification	serialized fork and handoff preview supersession with confirmation	Preview, cancel, and confirm now share mutation-lock-first ordering; durable state is rechecked before mutation	packages/server-core/src/git/isolated-conversation-fork-service.ts; packages/server-core/src/git/worktree-handoff-service.ts; 119 fork/handoff tests	all 119 fork/handoff tests pass
2026-08-31T04:05:00Z	verification	made Bot dispatch identity durable after message persistence	SessionManager invokes the Bot dispatch marker from onAck only after the user message flush; restart can resolve the persisted idempotency key without issuing a second turn	packages/server-core/src/handlers/rpc/bot-runtime.ts; packages/server-core/src/sessions/SessionManager.ts; 16 bot-runtime tests	all 16 bot-runtime tests pass
2026-08-31T04:10:00Z	verification	fenced late startup recovery by lifecycle generation	Startup recovery remains tracked through shutdown and checks generation before and after awaited approval, publication, cleanup, and dispatch work	packages/server-core/src/routines/routine-engine.ts; 40 routine-engine tests	all 40 routine-engine tests pass
2026-08-31T04:15:00Z	verification	validated targeted durability and type surfaces	Ran server-core/shared focused durability suites plus package typechecks and diff validation	27 server-core tests; 75 shared tests; server-core/shared/core/server/Electron typechecks; git diff --check	all targeted checks pass; full suites retain known environment-sensitive failures
2026-08-31T17:22:14Z	verification	closed the final review blockers	Fresh read-only review accepted reset cleanup, dispatch ordering, lifecycle fencing, fork/handoff locking, journal fsync, and sdkCwd preservation; focused suites passed after the final edits	fresh reviewer bcbb463b-c795-4374-b158-81879d5d578f; 56 server-core routine/bot tests; 146 fork/handoff tests; 75 shared tests; full suites: server-core 822 pass/20 known harness failures, shared 3390 pass/2 unrelated failures	no Issue #83 blockers remain; PR #102 remains unmerged
